                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64904,                 1.0412,                 1.6787,                0.94769,                0.91958,                0.87491,                0.90448,                0.78109,                0.92082,                0.87174,                0.90412,                0.73185,                0.47161,                0.66979,                0.50928,                0.76449,               0.003331,               0.003331,               0.003331
                      2,                0.56704,                0.73334,                  0.705,                0.90556,                0.95319,                0.94029,                0.95288,                 0.8201,                0.95902,                0.94226,                 0.9582,                0.74328,                0.45763,                 0.6205,                0.44688,                0.77588,              0.0065323,              0.0065323,              0.0065323
                      3,                0.59088,                0.74669,                0.65471,                0.91502,                0.95295,                0.91766,                0.94757,                0.81467,                 0.9479,                 0.9337,                0.96015,                0.74397,                0.48833,                0.67559,                0.46475,                0.78584,              0.0096017,              0.0096017,              0.0096017
                      4,                0.57366,                0.73663,                0.58982,                0.91246,                0.96735,                0.95847,                0.96643,                0.84645,                0.96906,                0.95946,                 0.9717,                0.76823,                0.44165,                0.60565,                0.37972,                0.77199,               0.009406,               0.009406,               0.009406
                      5,                0.52453,                0.67747,                0.50308,                0.90002,                0.97145,                0.96245,                0.96885,                 0.8608,                 0.9757,                0.96437,                0.97811,                0.76368,                0.41546,                 0.5902,                0.35659,                0.77693,               0.009208,               0.009208,               0.009208
                      6,                0.49093,                0.65267,                  0.454,                0.89115,                  0.972,                0.96538,                0.97646,                0.88115,                0.97572,                0.96482,                0.97795,                0.78132,                0.38627,                0.57124,                0.32647,                0.76204,                0.00901,                0.00901,                0.00901
                      7,                0.47023,                0.63018,                0.42232,                0.88706,                0.97563,                0.97122,                0.97547,                0.87736,                0.97844,                0.97267,                0.97953,                0.78975,                0.37496,                0.53912,                0.30589,                0.76203,               0.008812,               0.008812,               0.008812
                      8,                0.45427,                0.61662,                0.39764,                0.88431,                0.97242,                0.96767,                0.97396,                0.89425,                0.97577,                0.96978,                0.98087,                0.79239,                0.36798,                0.52413,                0.29646,                0.75857,               0.008614,               0.008614,               0.008614
                      9,                0.44046,                0.60191,                0.38029,                 0.8798,                0.97493,                0.96938,                0.97886,                0.89722,                0.97871,                0.96051,                0.97677,                0.79815,                0.35911,                0.51922,                0.28676,                0.76302,               0.008416,               0.008416,               0.008416
                     10,                0.42556,                0.58601,                0.36425,                0.87808,                0.97393,                0.97326,                0.97576,                0.89384,                0.97499,                0.97108,                0.97896,                0.78599,                0.36194,                 0.5293,                0.28634,                0.76144,               0.008218,               0.008218,               0.008218
