                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39737,                 0.6165,                  0.296,                0.86911,                0.94717,                0.96586,                0.97285,                 0.8913,                0.95886,                0.96933,                 0.9786,                0.79568,                0.39078,                0.58087,                0.29656,                0.76135,             0.00025571,             0.00025571,             0.00025571
                      2,                0.41801,                0.62558,                0.30889,                0.87309,                0.94974,                0.96621,                0.97132,                0.86703,                0.95417,                0.96772,                0.97546,                0.78924,                0.47507,                 0.6584,                0.31831,                0.78826,             0.00049937,             0.00049937,             0.00049937
                      3,                0.44124,                0.66165,                 0.3316,                0.87808,                0.95067,                0.97137,                0.97343,                0.87484,                0.95825,                0.97691,                0.97878,                0.78103,                0.45221,                0.62541,                0.32617,                 0.7765,             0.00073035,             0.00073035,             0.00073035
                      4,                0.44579,                0.65224,                 0.3371,                 0.8781,                0.95007,                0.96119,                0.97239,                0.87492,                0.94813,                0.95802,                 0.9706,                0.77295,                0.46071,                0.61702,                0.33831,                0.78003,              0.0007119,              0.0007119,              0.0007119
                      5,                0.44587,                0.66267,                0.33707,                0.87993,                0.93203,                0.96963,                0.97202,                 0.8701,                0.92881,                0.96667,                 0.9683,                0.75998,                0.47253,                0.63079,                 0.3487,                0.77798,             0.00069287,             0.00069287,             0.00069287
                      6,                0.44151,                0.65208,                0.33319,                0.87848,                0.93608,                0.96219,                0.96503,                0.87581,                0.94734,                0.97174,                0.97551,                0.77778,                0.45145,                0.67205,                0.32659,                0.77293,             0.00067384,             0.00067384,             0.00067384
                      7,                0.44057,                0.65966,                0.33216,                0.87824,                0.94999,                0.96445,                0.97031,                0.87598,                0.95365,                0.97282,                0.97728,                0.78702,                0.45699,                0.65444,                0.32151,                0.77864,              0.0006548,              0.0006548,              0.0006548
                      8,                0.43511,                0.64285,                0.32431,                0.87688,                0.95318,                0.95769,                0.96765,                0.86774,                0.96091,                0.96001,                0.97073,                0.77927,                0.44965,                0.65489,                 0.3224,                0.77248,             0.00063577,             0.00063577,             0.00063577
                      9,                0.43298,                0.64378,                0.32472,                0.87695,                0.95258,                0.96148,                0.96804,                0.87802,                 0.9579,                0.97552,                0.97784,                0.79111,                0.44781,                0.64723,                0.32122,                0.77795,             0.00061674,             0.00061674,             0.00061674
                     10,                0.42624,                0.62645,                0.31662,                0.87669,                0.95634,                0.95567,                0.97033,                 0.8823,                0.96333,                0.95964,                0.97346,                0.78643,                0.43531,                0.63082,                0.32004,                0.77833,             0.00059771,             0.00059771,             0.00059771
