                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76405,                 1.5412,                 1.6554,                 1.0287,                0.89422,                0.67335,                0.80129,                0.64554,                0.89856,                0.67681,                0.80188,                0.60138,                0.58292,                0.84937,                0.76641,                0.79407,             0.00025537,             0.00025537,             0.00025537
                      2,                  0.632,                 1.0288,                0.71059,                0.96651,                0.91044,                0.87861,                0.94719,                0.76474,                0.90378,                0.87384,                0.94959,                0.71178,                0.55616,                0.86365,                0.51981,                0.76966,             0.00050664,             0.00050664,             0.00050664
                      3,                0.60652,                 0.9456,                0.62085,                0.94784,                0.90992,                0.92494,                0.95916,                0.76268,                 0.9108,                0.93387,                0.96812,                0.68414,                0.58381,                 0.8649,                0.53944,                0.76566,             0.00075283,             0.00075283,             0.00075283
                      4,                0.59639,                0.92859,                0.57861,                0.94284,                0.95778,                0.95311,                 0.9637,                0.80335,                0.96354,                0.95802,                0.97363,                0.74796,                0.53548,                0.78329,                0.46203,                0.76844,             0.00074616,             0.00074616,             0.00074616
                      5,                0.57346,                0.89212,                0.53412,                0.93518,                0.95286,                 0.9619,                0.96744,                0.81274,                 0.9597,                0.96918,                  0.973,                0.74204,                0.56159,                0.79534,                0.49404,                0.76198,             0.00073855,             0.00073855,             0.00073855
                      6,                0.55856,                 0.8741,                0.50334,                0.93048,                0.96016,                0.95832,                0.95825,                0.79387,                0.96246,                0.96494,                0.96755,                0.74011,                0.50077,                0.69801,                0.47359,                0.75288,             0.00073093,             0.00073093,             0.00073093
                      7,                0.54733,                0.83904,                0.48282,                0.92748,                0.95635,                0.95275,                0.96426,                0.82066,                0.95671,                0.96603,                0.97406,                0.75152,                0.50064,                 0.6621,                 0.4206,                0.75727,             0.00072332,             0.00072332,             0.00072332
                      8,                0.52806,                0.82724,                0.45838,                0.91911,                0.95798,                0.95387,                0.96196,                0.81512,                 0.9517,                0.96884,                0.96639,                 0.7322,                0.47403,                0.76959,                0.41518,                0.74195,             0.00071571,             0.00071571,             0.00071571
                      9,                0.51858,                0.79518,                0.44675,                0.91819,                0.95468,                0.96499,                0.96125,                 0.8087,                0.95573,                0.96888,                0.96933,                0.75482,                0.48511,                0.68802,                0.42334,                0.74898,              0.0007081,              0.0007081,              0.0007081
                     10,                0.51985,                0.81623,                0.44292,                0.91886,                0.94431,                0.96602,                0.97038,                0.82969,                0.95299,                0.96135,                0.96954,                0.74477,                0.48552,                0.69398,                0.40325,                0.74309,             0.00070048,             0.00070048,             0.00070048
                     11,                0.50171,                0.77416,                0.42119,                0.91361,                0.95228,                0.95588,                0.96336,                0.82334,                0.95267,                0.97077,                0.97131,                0.74119,                0.47865,                0.67179,                0.39221,                0.74947,             0.00069287,             0.00069287,             0.00069287
                     12,                0.49854,                0.78011,                0.41166,                0.91323,                0.95662,                0.96001,                0.96306,                0.82137,                0.95938,                 0.9662,                0.97071,                0.75721,                0.45068,                0.70754,                0.38846,                0.74131,             0.00068526,             0.00068526,             0.00068526
                     13,                 0.4954,                0.76696,                0.40986,                0.91081,                0.95226,                0.95203,                0.96568,                0.81583,                0.95409,                0.95428,                0.97178,                0.72893,                0.48601,                0.69192,                0.40875,                0.77275,             0.00067764,             0.00067764,             0.00067764
                     14,                  0.495,                0.75238,                0.40792,                 0.9101,                0.95582,                0.95801,                0.96609,                0.82855,                0.96125,                0.96264,                0.97683,                0.75958,                0.49481,                0.72087,                0.38679,                0.74904,             0.00067003,             0.00067003,             0.00067003
                     15,                0.48202,                0.74184,                0.39082,                0.90443,                0.95085,                 0.9549,                 0.9593,                0.82375,                0.94875,                0.96196,                0.96429,                0.74541,                0.46138,                0.72078,                0.35853,                0.74002,             0.00066242,             0.00066242,             0.00066242
                     16,                0.48295,                0.74017,                0.39156,                0.90637,                0.95769,                0.95758,                0.96824,                0.84261,                0.96034,                0.96807,                0.97785,                0.75289,                0.43962,                0.65945,                 0.3751,                0.73649,              0.0006548,              0.0006548,              0.0006548
                     17,                0.48319,                0.74027,                0.38529,                0.90499,                0.94228,                 0.9674,                0.96291,                0.83208,                0.94304,                0.96629,                0.96606,                0.75027,                0.44824,                0.65226,                0.36397,                0.74023,             0.00064719,             0.00064719,             0.00064719
