                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6811,                 1.1895,                 1.9885,                0.97031,                0.82768,                0.89383,                0.90207,                0.79458,                0.83412,                0.89216,                0.90337,                0.73572,                  0.437,                0.77328,                0.55281,                0.78642,              0.0033294,              0.0033294,              0.0033294
                      2,                0.56794,                0.78549,                0.74666,                0.91142,                0.96861,                0.92339,                0.95775,                0.83634,                0.97051,                0.92395,                0.95801,                0.79054,                0.48051,                0.75605,                0.45378,                0.80446,              0.0065967,              0.0065967,              0.0065967
                      3,                0.59607,                0.78117,                0.68989,                0.92428,                0.97113,                0.95577,                0.96504,                0.83506,                0.97358,                0.96056,                0.97404,                0.79832,                0.50773,                0.78332,                0.47286,                0.80903,              0.0097981,              0.0097981,              0.0097981
                      4,                0.58528,                0.77867,                0.63309,                0.92552,                0.97565,                0.95339,                0.97104,                0.86229,                0.98043,                0.95493,                0.97511,                0.80179,                0.44916,                 0.7631,                0.41831,                0.80187,               0.009703,               0.009703,               0.009703
                      5,                0.54443,                0.72961,                 0.5568,                0.91454,                 0.9747,                0.95745,                0.97219,                 0.8651,                0.98153,                0.96262,                0.98018,                 0.7928,                0.42329,                0.71687,                0.37409,                0.79141,               0.009604,               0.009604,               0.009604
                      6,                0.51183,                0.69457,                0.49971,                0.90549,                 0.9668,                0.96396,                0.96933,                0.88318,                0.97696,                0.97218,                0.98057,                0.81704,                0.40458,                0.72109,                0.34437,                0.79021,               0.009505,               0.009505,               0.009505
                      7,                0.49381,                0.67146,                0.46369,                0.90323,                0.96858,                0.96241,                0.97211,                0.88729,                0.96572,                 0.9737,                0.97932,                0.82411,                0.38439,                0.67701,                0.32265,                0.77911,               0.009406,               0.009406,               0.009406
                      8,                0.47313,                0.64902,                 0.4344,                0.89562,                 0.9752,                0.96665,                0.97469,                0.89212,                0.98027,                0.97042,                0.98193,                0.81934,                0.38451,                0.65593,                0.30275,                0.78223,               0.009307,               0.009307,               0.009307
                      9,                0.46445,                0.64486,                0.41468,                0.89627,                0.98119,                0.96724,                0.97734,                0.89933,                0.98075,                0.97005,                0.97952,                 0.8191,                0.36703,                0.68258,                  0.299,                0.77784,               0.009208,               0.009208,               0.009208
                     10,                0.45415,                0.63091,                0.40048,                0.89248,                0.97457,                0.97014,                0.97478,                0.89779,                0.98474,                0.97626,                0.98376,                0.81939,                0.36304,                0.67713,                0.29413,                0.77963,               0.009109,               0.009109,               0.009109
                     11,                0.44404,                0.62347,                0.38698,                0.88901,                0.97854,                0.97191,                0.97731,                0.90492,                0.98318,                0.97317,                0.97956,                0.82688,                0.36397,                0.64201,                0.27759,                0.77918,                0.00901,                0.00901,                0.00901
