                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70351,                 1.2713,                 1.5072,                0.98429,                0.91655,                0.90352,                0.93762,                0.78865,                0.91972,                0.90529,                0.94109,                0.71751,                0.52428,                0.84907,                0.57046,                0.79245,             0.00025573,             0.00025573,             0.00025573
                      2,                0.57372,                0.88847,                0.63224,                0.92736,                0.91788,                0.95912,                0.95757,                0.81952,                0.91632,                0.95734,                 0.9539,                0.72958,                0.49229,                0.76201,                0.46708,                0.78579,             0.00041067,             0.00041067,             0.00041067
                      3,                0.53595,                0.79107,                0.54381,                 0.9102,                0.95597,                0.94607,                0.95997,                0.83211,                0.96194,                0.95478,                0.96917,                0.74321,                0.45961,                0.73442,                0.42429,                0.76716,             0.00046411,             0.00046411,             0.00046411
                      4,                0.49779,                0.76344,                0.48248,                0.90263,                  0.941,                0.96207,                0.96169,                0.84008,                0.94099,                0.96066,                0.96396,                0.76381,                0.43012,                0.62264,                0.38143,                0.75788,             0.00031221,             0.00031221,             0.00031221
                      5,                 0.4563,                0.69763,                0.42531,                0.89007,                0.95793,                 0.9479,                0.96411,                0.85807,                0.96488,                0.93935,                0.96346,                0.75085,                0.39196,                0.64504,                0.35705,                0.75404,             0.00015995,             0.00015995,             0.00015995
