                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71321,                 1.2446,                 1.5854,                0.98584,                0.87695,                0.77099,                0.84257,                0.71668,                0.87899,                0.77204,                0.84427,                 0.6717,                 0.4971,                0.73275,                0.51305,                0.80468,               0.000208,               0.000208,               0.000208
                      2,                0.55062,                0.83491,                0.65752,                0.90616,                0.95683,                0.95573,                0.96717,                0.84206,                0.95654,                0.95664,                0.96624,                0.77676,                0.44772,                0.67485,                0.42672,                0.79193,             0.00039985,             0.00039985,             0.00039985
                      3,                0.53193,                0.79024,                0.56541,                    0.9,                0.96383,                0.90227,                0.96107,                0.84952,                0.95803,                0.91801,                0.96565,                0.79838,                 0.4476,                0.66851,                0.41611,                0.79064,              0.0005752,              0.0005752,              0.0005752
                      4,                0.51219,                0.75656,                0.50655,                0.89414,                0.96327,                 0.9559,                0.97303,                0.87473,                0.97054,                0.96226,                0.97858,                0.80632,                0.40964,                0.66365,                0.34568,                0.77837,             0.00055075,             0.00055075,             0.00055075
                      5,                0.48193,                0.72103,                 0.4545,                0.88714,                 0.9561,                0.95182,                0.96784,                0.87516,                0.96287,                0.95806,                0.97612,                0.81406,                 0.3972,                   0.63,                0.32572,                0.77213,               0.000526,               0.000526,               0.000526
                      6,                0.47097,                0.70452,                0.42636,                0.88393,                0.98332,                0.95111,                0.97289,                0.88185,                 0.9782,                0.96415,                0.97921,                0.81068,                0.39155,                0.57923,                0.32622,                0.77721,             0.00050125,             0.00050125,             0.00050125
                      7,                0.45504,                0.67802,                0.40275,                0.88111,                0.94765,                0.95406,                0.97847,                0.88881,                 0.9506,                0.95522,                 0.9826,                0.81361,                0.38403,                0.61874,                0.35231,                0.77733,              0.0004765,              0.0004765,              0.0004765
                      8,                0.44516,                0.66867,                0.38726,                0.87901,                0.96542,                0.95305,                0.97246,                0.89293,                0.96716,                0.95495,                0.97507,                 0.8154,                0.37385,                0.57699,                0.29293,                0.77115,             0.00045175,             0.00045175,             0.00045175
                      9,                0.43259,                 0.6444,                0.36904,                0.87428,                0.96671,                 0.9621,                0.97014,                0.88282,                0.97145,                0.96629,                0.97588,                0.81588,                0.37964,                0.57836,                 0.2994,                0.77266,               0.000427,               0.000427,               0.000427
                     10,                0.42959,                0.63936,                0.36199,                 0.8755,                0.97812,                0.94577,                0.97106,                0.89009,                 0.9822,                 0.9479,                0.97622,                0.82639,                0.36984,                0.57497,                0.28267,                0.77078,             0.00040225,             0.00040225,             0.00040225
                     11,                 0.4207,                 0.6306,                0.35034,                0.87114,                0.97042,                  0.962,                0.97398,                0.89574,                0.97511,                0.96591,                0.97988,                0.83125,                0.35948,                0.56058,                0.28246,                0.77238,              0.0003775,              0.0003775,              0.0003775
                     12,                0.41139,                0.62598,                 0.3424,                0.87205,                0.96544,                0.96214,                 0.9704,                0.89908,                 0.9656,                0.96199,                0.97296,                0.82241,                0.34582,                 0.5579,                0.26151,                0.76442,             0.00035275,             0.00035275,             0.00035275
                     13,                0.40488,                0.61194,                0.33278,                0.86883,                0.96676,                0.95558,                 0.9679,                0.89904,                0.97492,                0.96282,                0.97587,                0.83417,                0.34105,                0.54562,                0.25129,                0.75933,               0.000328,               0.000328,               0.000328
                     14,                0.39771,                 0.6051,                0.32236,                0.86747,                0.97158,                0.95099,                 0.9767,                0.90216,                0.97042,                0.96125,                0.98251,                0.83454,                0.33825,                0.55398,                0.25696,                0.75927,             0.00030325,             0.00030325,             0.00030325
                     15,                0.39143,                0.59878,                0.31666,                0.86567,                0.96402,                0.96329,                0.97308,                0.90198,                0.96811,                0.96865,                0.97662,                0.83311,                0.32382,                 0.5429,                0.24577,                0.75769,              0.0002785,              0.0002785,              0.0002785
                     16,                0.36251,                0.57033,                0.28077,                0.84149,                 0.9691,                0.96601,                 0.9718,                0.90807,                0.97549,                0.96472,                0.97728,                0.83831,                0.31312,                0.49596,                0.24317,                0.75559,             0.00025375,             0.00025375,             0.00025375
                     17,                0.34817,                0.55401,                0.26825,                0.83696,                0.97849,                 0.9565,                0.97859,                0.91682,                0.97783,                0.96848,                0.98463,                0.84733,                0.31087,                0.51077,                0.24376,                0.75677,               0.000229,               0.000229,               0.000229
                     18,                0.33666,                0.54717,                0.25714,                 0.8341,                0.97622,                0.95679,                0.97464,                 0.9157,                0.97296,                0.96662,                0.98121,                0.84563,                0.29896,                 0.4904,                0.23571,                0.75496,             0.00020425,             0.00020425,             0.00020425
                     19,                0.32901,                0.54171,                0.24982,                0.83496,                0.96924,                 0.9642,                0.97346,                0.91691,                0.97614,                0.97136,                0.98028,                0.84661,                0.28967,                0.47265,                0.21755,                0.75074,              0.0001795,              0.0001795,              0.0001795
                     20,                0.31993,                0.52734,                 0.2422,                0.83006,                0.96916,                 0.9639,                0.97537,                0.91921,                0.97395,                0.96934,                0.98143,                0.85133,                0.28965,                0.46926,                0.22062,                0.75264,             0.00015475,             0.00015475,             0.00015475
                     21,                 0.3124,                0.51161,                 0.2343,                0.82878,                0.97117,                 0.9645,                0.97879,                0.92509,                0.97355,                0.96828,                0.98497,                0.85237,                0.28643,                0.46592,                0.22059,                0.75046,                0.00013,                0.00013,                0.00013
                     22,                0.30395,                0.50723,                0.22731,                0.82674,                0.97937,                0.95642,                0.97381,                0.92035,                0.97243,                0.96929,                0.98201,                0.85329,                0.28571,                0.45687,                0.22302,                0.75325,             0.00010525,             0.00010525,             0.00010525
                     23,                0.29633,                0.50239,                0.22187,                0.82543,                0.97514,                0.95205,                0.97578,                0.92286,                0.96771,                0.96991,                0.98374,                 0.8487,                0.28235,                0.45512,                0.21625,                0.75337,               8.05e-05,               8.05e-05,               8.05e-05
                     24,                0.29024,                0.49779,                0.21633,                0.82288,                0.97893,                0.95213,                0.97698,                0.92391,                0.97624,                0.96705,                0.98514,                0.85456,                0.27614,                0.45169,                0.20778,                0.75092,              5.575e-05,              5.575e-05,              5.575e-05
                     25,                0.28368,                 0.4923,                0.21175,                0.82207,                0.97168,                0.96355,                0.97446,                 0.9244,                0.97733,                0.96954,                0.98286,                 0.8542,                0.27114,                0.45003,                0.20647,                 0.7486,                3.1e-05,                3.1e-05,                3.1e-05
