                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.53647,                0.85693,                0.54399,                0.90935,                0.93565,                0.96696,                0.96695,                0.84635,                0.93319,                0.96318,                0.96209,                0.75234,                0.48632,                 0.7292,                0.36185,                0.77594,             0.00025571,             0.00025571,             0.00025571
                      2,                 0.5284,                0.80956,                0.45916,                0.90092,                0.95019,                0.95643,                0.97062,                0.84067,                0.95333,                0.96389,                0.97586,                0.76807,                0.56811,                0.74736,                0.39765,                0.79979,             0.00049937,             0.00049937,             0.00049937
                      3,                0.54473,                0.83757,                0.46732,                0.90513,                0.92093,                0.96328,                0.96161,                0.83472,                0.92099,                0.96535,                0.96596,                0.74052,                0.53895,                0.74111,                 0.4128,                0.79324,             0.00073035,             0.00073035,             0.00073035
                      4,                0.53791,                0.80492,                 0.4518,                0.90155,                0.94828,                 0.9602,                0.96523,                0.83056,                0.95578,                0.96704,                0.97362,                0.74006,                0.56437,                0.76026,                0.39839,                 0.8058,              0.0007119,              0.0007119,              0.0007119
                      5,                0.52745,                0.79334,                0.43295,                0.89934,                0.92906,                0.95531,                0.96363,                0.83382,                0.92859,                0.96205,                0.97237,                0.74567,                0.53934,                0.79418,                0.44193,                  0.802,             0.00069287,             0.00069287,             0.00069287
                      6,                0.51527,                0.77841,                0.41689,                0.89727,                0.93521,                 0.9631,                0.96662,                0.83508,                0.93681,                0.96725,                0.97253,                0.76538,                0.54187,                0.73903,                0.45545,                0.80202,             0.00067384,             0.00067384,             0.00067384
                      7,                0.50561,                0.76996,                0.40576,                0.89423,                0.94092,                0.95923,                0.96697,                0.85049,                0.94413,                0.96266,                0.96783,                0.76638,                0.51155,                 0.7085,                0.36916,                0.79075,              0.0006548,              0.0006548,              0.0006548
                      8,                0.49469,                0.74385,                0.39126,                0.89138,                0.94417,                 0.9484,                0.96589,                0.85164,                0.94299,                0.95781,                0.96917,                0.77166,                0.49386,                0.70307,                0.37663,                0.78582,             0.00063577,             0.00063577,             0.00063577
                      9,                0.49352,                0.73839,                0.38821,                0.89163,                 0.9576,                0.95636,                0.96996,                0.86734,                0.95979,                0.96031,                0.97553,                0.77223,                0.48553,                0.69517,                0.35651,                0.78749,             0.00061674,             0.00061674,             0.00061674
                     10,                0.47923,                0.71784,                 0.3744,                0.88935,                0.94706,                0.95894,                 0.9668,                0.85993,                0.94827,                0.96384,                0.97041,                0.78367,                0.47637,                 0.6683,                0.34832,                 0.7821,             0.00059771,             0.00059771,             0.00059771
                     11,                0.47936,                0.72559,                0.37154,                0.88957,                0.95623,                 0.9537,                0.96951,                0.87012,                0.96286,                0.95374,                0.97166,                0.77656,                 0.4633,                0.68503,                0.34206,                0.78029,             0.00057867,             0.00057867,             0.00057867
                     12,                0.46729,                 0.7117,                0.36549,                0.88706,                0.94921,                0.96104,                0.97012,                0.86855,                0.95707,                0.96841,                0.97603,                0.78422,                0.47199,                0.66667,                 0.3365,                0.78288,             0.00055964,             0.00055964,             0.00055964
                     13,                0.46535,                0.69846,                0.35767,                0.88619,                0.94087,                0.95389,                0.96917,                0.86467,                0.93907,                0.95592,                0.97046,                0.75816,                0.46488,                0.74622,                0.34075,                0.78057,             0.00054061,             0.00054061,             0.00054061
                     14,                0.45905,                0.70043,                 0.3535,                0.88411,                0.95113,                0.96398,                0.97153,                0.87418,                0.94287,                0.96039,                 0.9675,                0.77071,                0.44569,                0.66445,                0.35327,                0.78156,             0.00052157,             0.00052157,             0.00052157
                     15,                0.45658,                0.69598,                0.34994,                 0.8816,                0.94877,                0.96654,                0.97245,                0.87467,                0.95365,                0.96864,                0.97861,                0.78512,                0.46676,                0.68156,                0.32715,                0.78064,             0.00050254,             0.00050254,             0.00050254
                     16,                0.45255,                0.68534,                0.34547,                0.88246,                0.94692,                 0.9657,                 0.9714,                0.87397,                0.95297,                0.96945,                0.97523,                 0.7906,                0.44332,                0.63848,                0.32234,                0.77001,             0.00048351,             0.00048351,             0.00048351
                     17,                0.44558,                0.67559,                0.33912,                0.87998,                0.95599,                0.95818,                0.97145,                0.87484,                0.95773,                 0.9671,                0.97779,                0.79202,                0.44347,                0.63601,                0.32327,                0.77173,             0.00046448,             0.00046448,             0.00046448
                     18,                0.44544,                0.66851,                0.33592,                0.88081,                 0.9439,                 0.9612,                0.96899,                 0.8759,                0.94972,                0.96563,                0.97417,                0.77657,                0.44455,                0.63743,                0.33126,                0.78353,             0.00044544,             0.00044544,             0.00044544
                     19,                0.44035,                0.66786,                0.33049,                0.87887,                0.95468,                0.95756,                0.96886,                0.87894,                0.96093,                0.96297,                0.97441,                0.78671,                0.41126,                 0.6249,                0.31323,                0.76579,             0.00042641,             0.00042641,             0.00042641
                     20,                 0.4373,                0.66157,                 0.3292,                0.88153,                0.95135,                0.95574,                0.97279,                0.88281,                0.95266,                0.95511,                 0.9731,                0.77613,                0.43657,                0.69199,                0.31604,                0.77485,             0.00040738,             0.00040738,             0.00040738
                     21,                0.43392,                0.65987,                0.32563,                0.87971,                0.95062,                0.97169,                0.97315,                0.88382,                0.95409,                0.97438,                0.97891,                0.79173,                0.44024,                 0.6344,                0.32385,                 0.7788,             0.00038835,             0.00038835,             0.00038835
                     22,                0.42603,                0.65072,                0.31914,                 0.8761,                 0.9537,                 0.9572,                0.97261,                0.88261,                0.95932,                0.95878,                0.97475,                0.78835,                0.43652,                0.62524,                0.31578,                0.77682,             0.00036931,             0.00036931,             0.00036931
                     23,                0.42421,                0.65038,                0.31792,                0.87643,                0.95494,                0.96213,                0.97284,                0.87955,                0.96124,                0.96841,                0.97861,                0.78552,                0.44733,                0.62293,                 0.3077,                0.78298,             0.00035028,             0.00035028,             0.00035028
                     24,                0.42112,                0.63885,                0.31252,                0.87482,                0.95158,                0.96426,                0.97276,                0.88724,                0.95511,                0.96506,                0.97525,                0.78747,                0.41743,                0.62457,                0.30651,                 0.7681,             0.00033125,             0.00033125,             0.00033125
                     25,                0.41921,                0.64132,                0.31228,                0.87436,                0.94821,                0.96626,                0.97525,                0.88589,                0.96221,                0.95807,                0.97459,                0.78729,                0.42775,                0.61983,                 0.3053,                 0.7672,             0.00031221,             0.00031221,             0.00031221
                     26,                0.41399,                0.62623,                0.30634,                0.87254,                 0.9496,                0.96881,                0.97466,                0.88247,                 0.9626,                0.96891,                0.97975,                0.79723,                0.43304,                0.61381,                 0.2923,                0.76786,             0.00029318,             0.00029318,             0.00029318
                     27,                0.41085,                0.63345,                 0.3047,                0.87015,                0.96475,                 0.9553,                0.97375,                0.88511,                0.95978,                0.95786,                0.97449,                0.78777,                0.41471,                0.63572,                0.29067,                0.77333,             0.00027415,             0.00027415,             0.00027415
                     28,                0.40841,                0.61668,                0.30221,                0.87207,                0.95249,                0.96693,                0.97539,                0.88717,                0.95675,                0.96957,                0.97898,                0.78935,                0.40651,                0.60735,                 0.2944,                0.76641,             0.00025512,             0.00025512,             0.00025512
                     29,                0.40799,                0.62221,                0.29873,                0.87106,                0.95138,                0.96298,                0.97327,                0.88639,                0.95869,                0.96935,                0.97826,                0.78957,                0.41463,                0.62772,                0.29217,                0.77285,             0.00023608,             0.00023608,             0.00023608
                     30,                 0.3983,                0.60586,                0.29211,                0.87122,                0.96275,                0.95815,                0.97462,                0.88721,                0.96894,                0.96434,                0.97956,                0.78807,                0.41278,                0.60216,                0.29158,                 0.7699,             0.00021705,             0.00021705,             0.00021705
                     31,                0.37073,                0.60298,                0.26472,                0.84659,                0.96003,                0.96138,                0.97439,                0.89551,                0.96151,                0.95996,                0.97533,                0.79879,                0.38298,                0.53698,                0.28854,                0.76553,             0.00019802,             0.00019802,             0.00019802
                     32,                0.36158,                0.57687,                0.25536,                0.84259,                0.95909,                0.96482,                0.97693,                0.89767,                0.96162,                0.96593,                0.97916,                0.80253,                0.35452,                0.51773,                0.27926,                0.75836,             0.00017898,             0.00017898,             0.00017898
