                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56224,                0.98451,                 1.2657,                0.89786,                0.93824,                0.93195,                0.94926,                 0.8284,                 0.9457,                 0.9343,                0.95983,                0.78393,                0.46057,                0.64948,                0.46516,                0.77249,               0.000208,               0.000208,               0.000208
                      2,                0.42639,                0.64823,                0.50488,                 0.8421,                0.96532,                0.95365,                0.96248,                0.85506,                0.96995,                0.95793,                0.97127,                 0.7921,                0.42242,                0.57796,                0.39632,                   0.77,             0.00038886,             0.00038886,             0.00038886
                      3,                 0.4019,                0.60239,                 0.4149,                0.83632,                0.95853,                0.95529,                0.96452,                0.86381,                0.96683,                0.96137,                0.97335,                0.81629,                0.39351,                0.54469,                0.34026,                 0.7679,             0.00054221,             0.00054221,             0.00054221
                      4,                0.37355,                0.56616,                0.35049,                0.82978,                0.96125,                0.96448,                0.96576,                0.88327,                0.97216,                0.95534,                0.96674,                0.80748,                0.36362,                 0.5263,                0.32303,                0.76461,             0.00050125,             0.00050125,             0.00050125
                      5,                0.34927,                0.53446,                0.30924,                0.82651,                0.97176,                0.96023,                0.96377,                0.88424,                 0.9764,                0.96021,                0.96649,                0.81445,                0.34276,                0.50377,                0.29318,                0.75767,                0.00046,                0.00046,                0.00046
                      6,                0.33334,                 0.5173,                0.28418,                0.82371,                0.97084,                 0.9628,                0.96953,                0.89868,                0.97885,                0.96127,                0.97391,                0.83294,                0.33301,                0.49786,                0.27926,                0.75867,             0.00041875,             0.00041875,             0.00041875
                      7,                0.31752,                0.49754,                0.26425,                0.81751,                0.97676,                0.95502,                0.97222,                0.90598,                0.96751,                0.96508,                0.97388,                0.83523,                0.32371,                0.46595,                0.26309,                0.75699,              0.0003775,              0.0003775,              0.0003775
                      8,                0.30281,                0.47494,                0.24996,                0.81595,                0.96695,                0.96079,                0.96845,                0.90246,                0.96905,                0.96258,                0.97031,                0.83758,                 0.3131,                0.46171,                0.25667,                0.75362,             0.00033625,             0.00033625,             0.00033625
                      9,                0.29065,                0.46655,                0.23974,                0.81341,                0.97107,                0.95981,                 0.9734,                0.91683,                0.96797,                0.96566,                0.97506,                0.84495,                0.30343,                0.44356,                0.24198,                 0.7559,               0.000295,               0.000295,               0.000295
                     10,                0.28087,                0.45538,                0.22841,                0.81147,                0.95953,                0.97457,                0.97191,                0.91104,                0.96246,                0.97652,                0.97612,                0.83521,                0.29877,                0.44545,                0.24034,                0.75316,             0.00025375,             0.00025375,             0.00025375
                     11,                0.27149,                0.44611,                0.21981,                0.81001,                 0.9655,                0.96671,                0.96834,                0.91256,                0.97791,                0.96112,                0.97145,                0.83588,                0.29427,                0.43568,                0.23072,                0.75537,              0.0002125,              0.0002125,              0.0002125
                     12,                 0.2611,                0.43228,                0.20998,                0.80818,                0.97307,                0.96562,                0.97059,                0.92188,                0.98007,                0.96966,                0.97741,                0.85044,                0.27461,                0.41891,                0.22085,                0.74992,             0.00017125,             0.00017125,             0.00017125
                     13,                 0.2517,                0.41973,                0.20186,                 0.8073,                0.97725,                 0.9624,                0.97111,                0.92052,                0.97908,                0.96632,                0.97549,                0.84648,                0.27417,                0.42284,                0.21748,                0.74833,                0.00013,                0.00013,                0.00013
                     14,                0.24093,                0.41014,                0.19235,                0.80505,                0.97201,                0.96576,                0.97071,                0.92324,                0.97202,                0.97076,                0.97526,                0.85446,                0.26341,                 0.4151,                0.20914,                 0.7457,              8.875e-05,              8.875e-05,              8.875e-05
                     15,                0.23142,                0.40293,                0.18503,                0.80394,                0.97688,                0.96127,                0.97228,                 0.9278,                 0.9685,                0.97344,                0.97642,                0.85629,                0.25635,                0.40985,                0.20656,                0.74559,               4.75e-05,               4.75e-05,               4.75e-05
