                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72358,                 1.4134,                 1.5967,                 1.0041,                 0.8578,                0.90464,                 0.9219,                0.75922,                0.86597,                0.88643,                0.91684,                0.67385,                0.52001,                0.88922,                0.62517,                 0.7711,             0.00025556,             0.00025556,             0.00025556
                      2,                0.59404,                0.97054,                0.66528,                 0.9407,                0.92186,                0.93801,                0.95182,                0.79385,                0.92532,                0.93384,                0.94678,                0.72446,                0.53032,                0.80354,                0.53836,                 0.7793,             0.00050683,             0.00050683,             0.00050683
                      3,                0.58076,                 0.9113,                 0.6009,                0.93259,                0.88279,                 0.9051,                0.94001,                0.79133,                0.88803,                0.90816,                0.94405,                0.69572,                0.49498,                0.79186,                0.55641,                 0.7581,             0.00075302,             0.00075302,             0.00075302
                      4,                0.55995,                0.86922,                0.55003,                 0.9257,                0.95157,                0.93223,                0.95704,                0.81621,                0.95224,                0.93182,                0.95681,                0.74053,                0.46544,                0.67981,                0.46335,                0.74989,             0.00074616,             0.00074616,             0.00074616
                      5,                0.54865,                0.86773,                0.51125,                0.92165,                0.94057,                0.92361,                0.95422,                0.80868,                0.90337,                0.94583,                0.94652,                0.73482,                0.48357,                0.95804,                0.43378,                0.76136,             0.00073855,             0.00073855,             0.00073855
                      6,                0.52911,                0.80438,                  0.477,                0.91628,                 0.9405,                0.94764,                0.95233,                0.82361,                 0.9431,                0.94996,                0.95813,                 0.7412,                0.44414,                0.67713,                0.41286,                0.74816,             0.00073093,             0.00073093,             0.00073093
                      7,                0.51741,                0.79664,                0.45446,                0.90911,                0.93843,                0.94912,                0.95826,                0.83512,                0.94324,                0.94622,                0.96608,                0.74461,                0.43438,                0.66454,                0.37243,                0.74706,             0.00072332,             0.00072332,             0.00072332
                      8,                0.51137,                0.78623,                0.44388,                0.90844,                0.95063,                0.95703,                0.96704,                0.84379,                0.95214,                0.95576,                0.97475,                0.76634,                0.44868,                0.67823,                0.37612,                0.74966,             0.00071571,             0.00071571,             0.00071571
                      9,                0.49491,                0.75875,                0.41908,                0.90604,                0.92685,                0.95525,                0.96277,                0.83567,                0.92324,                0.94845,                0.95702,                0.75855,                0.43473,                0.64292,                0.38215,                 0.7469,              0.0007081,              0.0007081,              0.0007081
                     10,                 0.4909,                0.75833,                0.41376,                0.90368,                0.94086,                0.93768,                0.95821,                0.83871,                0.94638,                0.95556,                0.96616,                0.76212,                0.45565,                0.63804,                0.36953,                0.75862,             0.00070048,             0.00070048,             0.00070048
                     11,                0.48204,                0.74345,                 0.4037,                0.90039,                0.95529,                0.94148,                0.96145,                0.83397,                 0.9644,                0.95293,                0.97329,                0.76017,                0.45697,                0.69705,                0.36103,                0.75408,             0.00069287,             0.00069287,             0.00069287
                     12,                0.47478,                0.72417,                0.39239,                0.89722,                0.94334,                0.95886,                0.96767,                0.86078,                0.94286,                0.96587,                0.97554,                0.77011,                0.39803,                0.65991,                0.33353,                0.74298,             0.00068526,             0.00068526,             0.00068526
