                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76405,                 1.5412,                 1.6555,                 1.0287,                0.89482,                0.67401,                0.80003,                0.64448,                0.89866,                0.67734,                0.80048,                0.60047,                0.58354,                0.84958,                0.76565,                0.79397,             0.00025537,             0.00025537,             0.00025537
                      2,                0.63199,                 1.0229,                 0.7075,                0.96642,                0.95507,                0.88494,                0.93688,                0.75321,                 0.9527,                0.88326,                0.93584,                0.70158,                0.57873,                0.84049,                0.54631,                 0.7819,             0.00049482,             0.00049482,             0.00049482
                      3,                0.60065,                0.94931,                0.61622,                 0.9471,                0.92902,                0.94079,                0.96025,                0.77005,                0.92668,                0.93792,                0.96012,                0.71774,                0.58935,                0.83663,                0.50312,                0.76106,             0.00071735,             0.00071735,             0.00071735
                      4,                0.59497,                0.92313,                0.57078,                0.94296,                0.91105,                0.96095,                0.96547,                0.79304,                0.91954,                0.96966,                0.97393,                0.74818,                0.54354,                0.77072,                0.48004,                0.76933,             0.00069287,             0.00069287,             0.00069287
                      5,                0.56185,                0.87927,                0.52295,                0.93122,                0.95053,                0.94916,                0.96376,                0.80071,                0.95012,                0.94777,                0.96699,                0.72756,                0.51796,                0.84418,                0.47405,                0.76436,             0.00066749,             0.00066749,             0.00066749
                      6,                0.54812,                0.86789,                0.49695,                0.92775,                0.94579,                0.94915,                0.95993,                0.79757,                0.95828,                0.96083,                0.97592,                0.74187,                0.53029,                 0.7309,                0.46614,                0.75794,             0.00064212,             0.00064212,             0.00064212
                      7,                0.53803,                 0.8258,                0.47369,                0.92503,                0.94772,                0.95735,                0.95971,                0.81938,                0.95178,                0.96042,                0.96662,                0.75602,                0.49541,                0.63601,                0.42835,                0.75144,             0.00061674,             0.00061674,             0.00061674
                      8,                0.51182,                0.81195,                 0.4488,                0.91435,                0.94707,                 0.9624,                0.96519,                0.82238,                0.95335,                0.96701,                0.97325,                0.73237,                0.46367,                0.73189,                0.40765,                0.74135,             0.00059136,             0.00059136,             0.00059136
                      9,                 0.5048,                0.77595,                0.43478,                0.91443,                0.94463,                0.94474,                0.96207,                0.81738,                0.94941,                0.94687,                0.97176,                 0.7683,                0.50721,                0.68709,                 0.4423,                0.75486,             0.00056598,             0.00056598,             0.00056598
                     10,                0.50206,                0.79052,                0.42583,                0.91484,                0.95851,                0.96009,                0.97006,                0.81841,                0.94971,                0.95396,                0.96722,                0.76024,                0.47309,                0.67677,                0.38247,                 0.7537,             0.00054061,             0.00054061,             0.00054061
                     11,                0.48395,                0.75391,                0.40453,                0.90876,                  0.952,                0.95444,                0.96439,                0.81805,                0.95908,                0.96034,                0.97653,                0.75906,                0.46958,                 0.6705,                0.37404,                 0.7446,             0.00051523,             0.00051523,             0.00051523
                     12,                0.47888,                0.75564,                0.39289,                0.90765,                0.95404,                0.95708,                0.96443,                0.81567,                0.95449,                0.97007,                0.97177,                0.74274,                0.45248,                0.68593,                0.38358,                0.73548,             0.00048985,             0.00048985,             0.00048985
                     13,                0.47337,                0.74073,                 0.3923,                0.90433,                0.95106,                0.96066,                0.96607,                0.82726,                0.94314,                0.96497,                 0.9725,                0.73491,                0.42514,                0.65352,                0.35471,                0.73504,             0.00046448,             0.00046448,             0.00046448
                     14,                0.47051,                 0.7333,                0.38482,                0.90358,                0.95719,                 0.9574,                0.96898,                0.83338,                0.96034,                0.96383,                 0.9774,                0.76163,                 0.4469,                 0.6301,                0.34417,                0.73074,              0.0004391,              0.0004391,              0.0004391
                     15,                0.46183,                0.71519,                0.37415,                0.90073,                0.95777,                0.95943,                 0.9728,                0.83427,                0.95933,                0.97041,                0.97758,                0.75576,                0.42593,                0.65042,                0.34104,                0.72754,             0.00041372,             0.00041372,             0.00041372
                     16,                0.45745,                0.71108,                0.36882,                0.90074,                0.95626,                0.95008,                0.96679,                0.83704,                0.94499,                0.96954,                0.97594,                0.75373,                0.42207,                0.68254,                0.34668,                 0.7308,             0.00038835,             0.00038835,             0.00038835
                     17,                0.45093,                0.70903,                0.36287,                0.89666,                0.94906,                0.96381,                0.96464,                 0.8462,                0.95257,                0.96983,                0.97402,                0.77045,                0.41539,                0.61671,                0.34061,                0.72414,             0.00036297,             0.00036297,             0.00036297
                     18,                0.44466,                0.69366,                0.35542,                0.89526,                0.95395,                0.96585,                0.96523,                 0.8477,                0.95811,                0.97651,                0.97703,                0.76874,                0.42643,                0.60643,                0.33466,                0.73351,             0.00033759,             0.00033759,             0.00033759
                     19,                0.43761,                0.67572,                0.34296,                0.89254,                0.96468,                0.95752,                0.96627,                0.84482,                0.95267,                0.97252,                0.97511,                0.76924,                0.38707,                0.61386,                0.32356,                0.72413,             0.00031221,             0.00031221,             0.00031221
                     20,                0.42893,                0.68291,                0.33797,                0.89024,                0.96531,                0.95861,                0.96931,                0.84049,                0.97234,                 0.9668,                0.98042,                0.78025,                0.41973,                0.64976,                0.32906,                0.72867,             0.00028684,             0.00028684,             0.00028684
