                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56224,                0.98451,                 1.2657,                0.89786,                0.93378,                0.92961,                0.94971,                 0.8284,                0.94091,                0.93327,                0.96006,                0.78667,                0.46057,                0.64948,                0.46516,                0.77249,               0.000208,               0.000208,               0.000208
                      2,                0.42718,                0.64906,                 0.5086,                0.84271,                0.95148,                0.94237,                0.96121,                0.85092,                0.95427,                0.94634,                 0.9644,                0.79668,                0.42407,                0.58776,                0.40931,                0.76907,             0.00039985,             0.00039985,             0.00039985
                      3,                0.40555,                0.60343,                0.41389,                0.83736,                0.95345,                0.95379,                0.95909,                0.86726,                0.96337,                0.96054,                0.96994,                0.81533,                0.37973,                0.55081,                0.35152,                0.76739,              0.0005752,              0.0005752,              0.0005752
                      4,                0.37927,                0.57594,                0.35135,                0.83109,                 0.9678,                0.95596,                0.96676,                0.88882,                0.97167,                0.95613,                0.97121,                0.81583,                0.36943,                0.52129,                0.32162,                0.76495,             0.00055075,             0.00055075,             0.00055075
                      5,                0.35677,                0.54271,                0.31492,                0.82775,                0.97599,                0.95427,                 0.9629,                 0.8729,                0.97865,                0.95611,                0.97098,                0.81441,                0.36133,                0.51037,                0.29776,                0.76452,               0.000526,               0.000526,               0.000526
                      6,                0.34277,                0.52792,                 0.2894,                0.82557,                0.96853,                0.96432,                0.96692,                0.89723,                0.97623,                0.96108,                0.97279,                0.82577,                 0.3277,                0.50212,                0.28387,                0.75637,             0.00050125,             0.00050125,             0.00050125
                      7,                0.32907,                0.50914,                0.27162,                0.81969,                0.96245,                0.96162,                0.96942,                0.90033,                0.97158,                0.97009,                0.97766,                0.84189,                0.33027,                0.47873,                0.26221,                0.76034,              0.0004765,              0.0004765,              0.0004765
                      8,                 0.3172,                0.48937,                 0.2572,                0.81873,                0.96968,                 0.9577,                0.97051,                0.90332,                0.97287,                0.95989,                 0.9737,                0.83714,                0.33198,                0.46485,                0.26747,                0.75935,             0.00045175,             0.00045175,             0.00045175
                      9,                0.30763,                 0.4853,                0.25174,                0.81648,                0.97083,                0.95883,                0.97332,                 0.9083,                0.96651,                 0.9594,                0.97412,                0.83369,                0.31684,                0.45574,                0.25993,                0.75695,               0.000427,               0.000427,               0.000427
                     10,                0.30001,                0.47382,                 0.2402,                0.81448,                0.95864,                0.96732,                0.97163,                0.90813,                0.96433,                0.97069,                0.97565,                0.83023,                0.31308,                0.46117,                0.26539,                0.75818,             0.00040225,             0.00040225,             0.00040225
                     11,                0.29518,                0.46558,                0.23752,                0.81409,                0.96525,                0.96535,                0.97115,                0.90963,                0.96859,                0.96945,                 0.9743,                0.83327,                0.30834,                0.44724,                0.25053,                0.75998,              0.0003775,              0.0003775,              0.0003775
                     12,                0.28547,                0.45411,                0.22597,                0.81148,                0.97352,                0.96316,                0.97243,                0.91642,                0.97744,                0.96606,                0.97557,                0.84143,                0.29259,                0.43799,                0.23753,                 0.7573,             0.00035275,             0.00035275,             0.00035275
                     13,                0.28152,                0.44623,                0.22059,                0.81151,                0.97188,                0.96569,                0.97455,                 0.9164,                0.97334,                0.96654,                0.97902,                0.85348,                0.29582,                0.44065,                0.23764,                0.75564,               0.000328,               0.000328,               0.000328
                     14,                0.27367,                0.43795,                0.21576,                 0.8098,                0.96705,                0.97091,                0.97543,                0.91851,                0.97592,                0.96965,                0.97944,                0.85345,                0.29519,                0.43474,                0.24187,                0.75466,             0.00030325,             0.00030325,             0.00030325
                     15,                0.26786,                0.43251,                0.21027,                0.80873,                0.97045,                0.96724,                0.97359,                0.92239,                0.96984,                0.96552,                0.97708,                0.85192,                0.28272,                0.42162,                0.22742,                0.75159,              0.0002785,              0.0002785,              0.0002785
                     16,                0.26187,                0.42559,                0.20557,                0.80589,                0.96648,                0.96743,                0.97724,                0.92696,                0.96671,                0.96717,                0.97907,                 0.8543,                0.27474,                 0.4213,                0.22228,                 0.7496,             0.00025375,             0.00025375,             0.00025375
                     17,                0.25715,                0.41869,                0.20109,                0.80706,                0.97195,                0.95903,                0.97788,                0.92658,                0.97283,                0.95734,                0.97855,                0.85828,                0.26799,                 0.4251,                0.22073,                0.75008,               0.000229,               0.000229,               0.000229
                     18,                 0.2511,                0.41239,                0.19497,                0.80611,                0.97904,                0.95471,                0.97486,                0.92496,                0.97087,                0.96428,                0.97889,                0.85719,                0.26541,                0.41238,                0.21394,                0.74837,             0.00020425,             0.00020425,             0.00020425
                     19,                0.24661,                0.40627,                  0.191,                 0.8055,                 0.9694,                0.96577,                 0.9736,                0.92406,                0.97409,                0.96508,                0.97581,                0.85023,                0.26605,                0.41394,                0.21122,                0.74975,              0.0001795,              0.0001795,              0.0001795
                     20,                0.24161,                0.40188,                0.18623,                0.80366,                0.97888,                0.95947,                0.97718,                0.92741,                0.97781,                 0.9682,                0.98065,                 0.8585,                0.25746,                0.40783,                0.20623,                0.74727,             0.00015475,             0.00015475,             0.00015475
                     21,                0.23425,                0.39186,                0.18097,                0.80245,                0.97383,                0.96817,                0.97593,                0.92912,                0.97531,                0.96739,                0.97877,                0.85974,                0.25619,                0.41469,                0.20662,                0.74866,                0.00013,                0.00013,                0.00013
                     22,                0.22978,                0.38645,                0.17589,                 0.8014,                0.97301,                0.96504,                0.97662,                0.92786,                0.97597,                0.96524,                0.97957,                0.86413,                0.25251,                0.40734,                0.19862,                0.74828,             0.00010525,             0.00010525,             0.00010525
                     23,                0.22358,                0.38099,                0.17188,                0.80158,                0.97413,                0.96289,                0.97835,                0.93265,                0.97712,                0.96738,                0.98146,                0.86464,                0.24799,                0.40951,                0.20163,                0.74718,               8.05e-05,               8.05e-05,               8.05e-05
                     24,                0.21886,                0.37981,                0.16692,                0.80171,                0.96966,                0.97079,                0.97847,                0.93342,                0.97395,                0.97452,                0.98206,                0.86714,                 0.2475,                0.40297,                0.19632,                0.74778,              5.575e-05,              5.575e-05,              5.575e-05
                     25,                 0.2131,                0.37143,                0.16335,                0.80174,                0.97609,                0.96711,                0.97884,                0.93478,                0.97472,                0.97529,                0.98289,                0.86506,                0.24484,                0.40195,                0.19352,                 0.7478,                3.1e-05,                3.1e-05,                3.1e-05
