                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.31271,                0.45135,                 0.2473,                0.81787,                0.97569,                0.97596,                0.98021,                0.93225,                0.97673,                0.97497,                0.98033,                0.82281,                0.28688,                0.41485,                0.22725,                0.74702,                0.00505,                0.00505,                0.00505
                     27,                0.30384,                0.44432,                 0.2396,                0.81439,                0.97318,                0.97699,                0.98149,                0.93422,                0.97657,                 0.9777,                0.98255,                0.82422,                 0.2796,                 0.4017,                 0.2202,                 0.7457,               0.004852,               0.004852,               0.004852
                     28,                0.29861,                0.43397,                0.23585,                 0.8131,                0.97667,                 0.9812,                0.98053,                0.93404,                0.97682,                0.97876,                0.98185,                0.82281,                 0.2733,                0.40612,                0.21721,                0.74291,               0.004654,               0.004654,               0.004654
                     29,                0.29258,                0.43026,                0.23148,                0.81203,                0.97575,                0.97724,                0.97853,                0.93694,                0.97805,                0.97885,                0.98244,                0.82467,                0.26657,                0.40248,                0.21018,                0.73893,               0.004456,               0.004456,               0.004456
                     30,                0.28832,                0.42201,                0.22628,                0.81153,                 0.9773,                0.97353,                0.97905,                0.93682,                0.97933,                0.97015,                0.98029,                0.82504,                0.26831,                0.39731,                0.21101,                 0.7426,               0.004258,               0.004258,               0.004258
                     31,                0.28406,                0.41889,                 0.2226,                0.81033,                 0.9749,                0.97977,                0.98027,                0.93672,                0.97413,                0.97589,                0.98098,                0.82865,                0.26676,                0.39222,                0.21064,                0.74038,                0.00406,                0.00406,                0.00406
                     32,                0.27966,                0.41374,                0.21835,                0.80936,                 0.9731,                0.97988,                0.98021,                0.93838,                0.98036,                0.97687,                0.98372,                0.83002,                 0.2647,                0.39534,                0.20879,                0.74195,               0.003862,               0.003862,               0.003862
                     33,                0.27571,                0.41304,                0.21467,                0.80883,                  0.976,                0.97658,                0.98074,                0.93802,                0.97817,                0.97222,                0.98154,                0.83182,                 0.2608,                0.39081,                0.20744,                0.74125,               0.003664,               0.003664,               0.003664
                     34,                0.27194,                0.40952,                0.21246,                0.80827,                0.97761,                0.97806,                 0.9806,                0.93837,                0.97764,                0.97373,                0.98083,                0.82967,                0.25994,                0.39028,                0.20284,                0.74191,               0.003466,               0.003466,               0.003466
                     35,                0.26808,                0.40271,                 0.2084,                0.80554,                0.97902,                0.97834,                0.98122,                0.93885,                0.98151,                0.97837,                0.98399,                0.83225,                0.25919,                 0.3875,                0.20411,                0.74158,               0.003268,               0.003268,               0.003268
                     36,                0.26392,                0.39437,                0.20477,                  0.806,                0.97989,                  0.976,                0.98133,                0.94037,                 0.9792,                0.97753,                0.98391,                 0.8315,                0.25745,                0.38773,                0.19986,                0.74052,                0.00307,                0.00307,                0.00307
                     37,                0.26276,                0.39389,                0.20275,                0.80724,                0.97833,                0.97515,                0.98139,                0.94061,                0.97825,                0.97053,                0.98106,                0.83189,                0.25689,                0.38805,                0.20098,                0.74089,               0.002872,               0.002872,               0.002872
                     38,                0.25645,                 0.3875,                0.19871,                0.80444,                 0.9761,                0.98038,                0.98092,                0.93962,                0.97485,                0.97289,                0.98027,                0.82889,                0.25385,                0.39022,                  0.199,                0.73947,               0.002674,               0.002674,               0.002674
                     39,                0.25474,                0.39062,                0.19654,                 0.8066,                0.97398,                0.97968,                0.97993,                0.94168,                0.98399,                0.97409,                0.98308,                0.83169,                0.25351,                0.38871,                0.19788,                0.73989,               0.002476,               0.002476,               0.002476
                     40,                0.25161,                0.38116,                 0.1942,                0.80437,                0.97139,                0.98069,                0.98058,                0.94288,                0.98359,                0.97388,                0.98357,                0.83466,                0.25117,                0.38697,                0.19505,                0.73854,               0.002278,               0.002278,               0.002278
