                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7147,                  1.318,                 1.4709,                0.95159,                0.91337,                0.88237,                0.93032,                0.78407,                0.92071,                0.88052,                0.93648,                0.72162,                0.58781,                0.88208,                0.58148,                 0.7891,             0.00025571,             0.00025571,             0.00025571
                      2,                 0.6098,                0.94344,                0.66826,                0.90051,                0.94099,                 0.8964,                0.95503,                0.77368,                0.94178,                 0.8983,                0.96441,                0.71892,                0.62524,                0.81625,                0.55126,                0.81381,             0.00046135,             0.00046135,             0.00046135
                      3,                 0.5838,                0.87863,                0.55712,                0.89477,                 0.9357,                 0.9541,                0.95973,                  0.803,                0.94202,                0.96005,                 0.9715,                0.75362,                0.57741,                0.78812,                0.46835,                0.79362,             0.00061624,             0.00061624,             0.00061624
                      4,                0.54647,                0.83845,                0.48679,                0.88278,                0.91898,                0.95224,                0.96307,                0.82186,                0.92078,                0.94694,                  0.958,                0.73038,                0.53309,                0.73234,                0.45055,                0.79464,             0.00054061,             0.00054061,             0.00054061
                      5,                0.51241,                0.79363,                0.42928,                0.87504,                0.94936,                 0.9397,                0.95964,                0.81654,                0.92646,                0.95346,                0.95679,                0.72094,                0.51616,                0.69485,                0.42685,                0.77757,             0.00046448,             0.00046448,             0.00046448
                      6,                0.48965,                 0.7543,                0.39312,                0.86955,                0.93194,                0.96099,                0.96506,                0.84661,                0.94139,                0.97071,                0.97757,                0.76318,                0.49861,                0.74142,                0.39193,                0.78009,             0.00038835,             0.00038835,             0.00038835
                      7,                0.45664,                0.72486,                0.36362,                0.86159,                0.95284,                0.95345,                0.96401,                0.85736,                0.95653,                0.96085,                0.97161,                0.76729,                0.47418,                0.63944,                0.36814,                0.77096,             0.00031221,             0.00031221,             0.00031221
                      8,                0.43042,                0.69298,                0.33954,                0.85724,                0.94886,                0.94258,                0.96406,                0.85961,                0.94976,                0.95274,                0.97146,                0.76699,                0.43199,                0.61235,                0.35325,                0.76588,             0.00023608,             0.00023608,             0.00023608
                      9,                0.41102,                0.66412,                0.31852,                 0.8542,                0.95355,                0.96659,                0.96679,                0.87666,                0.95205,                0.96462,                0.96432,                0.76409,                0.40011,                0.59464,                  0.336,                0.76154,             0.00015995,             0.00015995,             0.00015995
                     10,                 0.3922,                0.63423,                0.30171,                  0.849,                 0.9595,                  0.961,                0.96606,                0.87666,                0.95666,                0.96578,                0.97169,                0.78703,                0.39724,                0.59218,                0.31425,                0.76024,             8.3821e-05,             8.3821e-05,             8.3821e-05
