                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.6586,                 1.0968,                 1.8758,                0.95677,                0.93203,                0.80806,                0.86862,                0.75711,                0.93359,                0.80944,                0.86759,                0.71599,                 0.4633,                0.68071,                0.53107,                0.76153,              0.0033293,              0.0033293,              0.0033293
                      2,                0.55931,                0.72109,                0.70932,                0.90456,                0.93732,                0.93547,                0.95625,                0.80762,                 0.9659,                0.91658,                0.95663,                0.75442,                0.49232,                0.62577,                0.47526,                0.77051,              0.0065966,              0.0065966,              0.0065966
                      3,                 0.5869,                0.71617,                0.65615,                0.91305,                0.95404,                0.93765,                  0.954,                0.80193,                0.94366,                  0.926,                0.93369,                 0.7087,                0.49752,                0.64058,                0.45423,                0.77968,               0.009798,               0.009798,               0.009798
                      4,                0.57559,                0.70138,                 0.5997,                0.91289,                 0.9685,                0.95944,                0.97115,                0.84704,                0.96827,                0.96329,                0.97214,                0.76394,                0.43779,                0.61048,                0.39818,                0.77042,               0.009703,               0.009703,               0.009703
                      5,                0.52884,                0.65391,                0.53137,                 0.9016,                0.95552,                0.95429,                0.96776,                0.85057,                0.95873,                0.95584,                 0.9678,                0.75497,                0.42567,                0.62162,                0.37095,                0.76776,               0.009604,               0.009604,               0.009604
                      6,                0.50041,                0.63804,                0.48213,                0.89349,                0.96308,                0.97076,                0.97578,                0.86994,                0.96755,                0.96506,                0.97688,                0.77034,                0.40285,                 0.5572,                0.35262,                0.76291,               0.009505,               0.009505,               0.009505
                      7,                0.47847,                0.61108,                0.44495,                0.89012,                0.96337,                0.96818,                0.97748,                0.88502,                 0.9615,                0.97618,                0.97982,                0.78327,                0.36836,                  0.535,                 0.3278,                0.75377,               0.009406,               0.009406,               0.009406
                      8,                0.46165,                0.60011,                0.41931,                0.88725,                0.96769,                0.97202,                0.97415,                0.88369,                0.96534,                0.96953,                 0.9736,                 0.7866,                0.37456,                 0.5181,                0.32394,                0.75863,               0.009307,               0.009307,               0.009307
                      9,                0.44861,                0.58458,                 0.3996,                0.88376,                0.97194,                0.96369,                0.97086,                0.89352,                0.97301,                 0.9641,                0.97422,                0.79317,                 0.3577,                0.50898,                0.30405,                0.75267,               0.009208,               0.009208,               0.009208
                     10,                0.44221,                0.58192,                0.38562,                0.88234,                0.96615,                0.96678,                0.97315,                0.89333,                0.96819,                0.96541,                0.97019,                0.79445,                0.35697,                0.50533,                0.29804,                0.74814,               0.009109,               0.009109,               0.009109
