                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.76405,                 1.5412,                 1.6555,                 1.0287,                0.89482,                0.67401,                0.80003,                0.64448,                0.89866,                0.67734,                0.80048,                0.60047,                0.58354,                0.84958,                0.76565,                0.79397,             0.00025537,             0.00025537,             0.00025537
                      2,                0.63401,                 1.0246,                0.71008,                0.96638,                0.90993,                0.87156,                0.93235,                0.75214,                0.91635,                0.85972,                0.93658,                0.69747,                0.57809,                0.89195,                0.55047,                0.77688,             0.00050157,             0.00050157,             0.00050157
                      3,                0.60766,                0.94548,                0.61792,                0.94782,                 0.9234,                0.94995,                0.95877,                0.76499,                0.93111,                0.94298,                0.96248,                0.69349,                0.58864,                0.79688,                0.52807,                0.76275,             0.00073763,             0.00073763,             0.00073763
                      4,                0.59851,                0.93022,                0.57643,                0.94325,                0.95246,                0.95693,                0.96296,                0.77954,                 0.9618,                0.96729,                0.97167,                0.75534,                0.56914,                 0.7461,                0.47674,                0.76761,             0.00072332,             0.00072332,             0.00072332
                      5,                0.56821,                0.89438,                0.52995,                0.93412,                0.92516,                0.96332,                0.96087,                0.80581,                0.91572,                0.95471,                0.95535,                0.71757,                0.51356,                0.87133,                0.45951,                0.75308,              0.0007081,              0.0007081,              0.0007081
                      6,                0.55304,                0.87397,                0.49884,                0.92939,                0.95934,                0.95192,                0.95749,                0.80455,                0.96683,                0.96157,                0.97355,                 0.7491,                0.50866,                0.69925,                0.41776,                0.75089,             0.00069287,             0.00069287,             0.00069287
                      7,                 0.5438,                0.83741,                0.48405,                0.92691,                0.94874,                0.95944,                0.96732,                0.82009,                 0.9564,                 0.9661,                0.97711,                0.75648,                0.46846,                0.65449,                0.42269,                0.74374,             0.00067764,             0.00067764,             0.00067764
                      8,                0.52072,                0.82522,                0.45746,                0.91693,                0.95121,                0.95953,                 0.9661,                0.83014,                0.95065,                0.95726,                0.96757,                0.71768,                0.47575,                0.72899,                0.42351,                0.74903,             0.00066242,             0.00066242,             0.00066242
                      9,                0.51319,                0.78565,                0.44334,                0.91625,                0.93438,                0.95937,                0.96292,                 0.8141,                0.93745,                0.96159,                0.96794,                0.76443,                0.53587,                0.70186,                0.43756,                0.77224,             0.00064719,             0.00064719,             0.00064719
                     10,                0.51371,                0.79871,                0.43429,                0.91832,                0.94318,                0.95715,                0.96639,                0.82633,                0.93567,                0.95892,                0.96295,                0.73804,                0.49219,                0.69839,                0.40884,                0.74966,             0.00063196,             0.00063196,             0.00063196
                     11,                0.49287,                0.76763,                0.41173,                0.91225,                0.93568,                0.96218,                0.96407,                0.82651,                0.94358,                 0.9724,                0.97061,                0.75797,                0.45697,                0.68259,                0.38254,                0.74543,             0.00061674,             0.00061674,             0.00061674
                     12,                0.49032,                 0.7708,                0.40507,                0.91053,                0.95397,                0.95866,                0.96289,                0.81176,                0.95723,                0.96304,                0.97109,                0.76093,                0.45349,                0.66462,                0.40147,                0.74494,             0.00060151,             0.00060151,             0.00060151
                     13,                0.48652,                 0.7526,                0.40186,                0.90875,                 0.9629,                0.95454,                0.96805,                0.82729,                0.96328,                0.95808,                0.97188,                0.72815,                0.45363,                0.66767,                 0.3714,                0.74584,             0.00058629,             0.00058629,             0.00058629
                     14,                0.48461,                0.74024,                0.39751,                0.90629,                0.94629,                 0.9649,                 0.9714,                 0.8431,                0.95203,                0.96842,                0.97822,                0.76994,                0.45551,                0.64622,                0.34846,                0.74443,             0.00057106,             0.00057106,             0.00057106
                     15,                0.47652,                0.73186,                0.38417,                0.90468,                0.94869,                0.95634,                0.96776,                0.82773,                0.95116,                0.95829,                0.97321,                0.74864,                0.43275,                0.68734,                0.36787,                0.73325,             0.00055583,             0.00055583,             0.00055583
                     16,                0.47257,                0.72844,                0.38532,                0.90312,                0.95694,                0.95759,                0.96478,                 0.8316,                0.96382,                0.96383,                0.97522,                0.75338,                0.41494,                0.65101,                 0.3527,                0.72487,             0.00054061,             0.00054061,             0.00054061
                     17,                0.46917,                0.72602,                0.37612,                0.90189,                0.95494,                0.96064,                0.96699,                0.83549,                 0.9604,                0.96527,                0.97496,                 0.7676,                 0.4629,                0.62654,                0.37173,                0.74703,             0.00052538,             0.00052538,             0.00052538
                     18,                0.46643,                0.71591,                0.36945,                0.90062,                0.94443,                0.96184,                0.96506,                 0.8377,                 0.9529,                0.96961,                0.97582,                 0.7694,                0.43151,                0.65691,                0.34371,                0.73682,             0.00051015,             0.00051015,             0.00051015
                     19,                0.46001,                0.69805,                0.35954,                0.89866,                0.94752,                0.96461,                0.96653,                0.83421,                0.95497,                0.97128,                0.97383,                 0.7654,                0.41945,                0.63509,                0.33478,                0.73504,             0.00049493,             0.00049493,             0.00049493
                     20,                0.44642,                0.70244,                0.35484,                0.89494,                0.96181,                0.95828,                0.96728,                0.83604,                0.97073,                 0.9676,                0.97567,                 0.7734,                0.45306,                0.63589,                0.36006,                0.74017,              0.0004797,              0.0004797,              0.0004797
                     21,                0.45383,                0.70358,                0.35735,                0.89744,                0.96268,                0.95772,                0.97022,                0.84338,                 0.9551,                0.96463,                0.96911,                0.75839,                 0.4141,                0.67739,                0.32471,                0.72526,             0.00046448,             0.00046448,             0.00046448
                     22,                 0.4445,                0.67665,                0.34886,                0.89769,                0.96439,                 0.9589,                0.96831,                0.84334,                0.96758,                0.96265,                0.97058,                0.77294,                0.42974,                0.63474,                0.34264,                0.74125,             0.00044925,             0.00044925,             0.00044925
                     23,                 0.4368,                0.66498,                0.34521,                0.89141,                0.95446,                0.96457,                0.96771,                0.85172,                0.95972,                0.96991,                0.97519,                0.77033,                0.39715,                0.61413,                 0.3138,                0.72644,             0.00043402,             0.00043402,             0.00043402
                     24,                0.44194,                0.69745,                0.34615,                0.89293,                0.95566,                0.95754,                0.96854,                0.84683,                0.96197,                 0.9645,                0.97321,                0.77246,                0.41608,                0.63403,                0.31243,                0.72602,              0.0004188,              0.0004188,              0.0004188
                     25,                0.43354,                0.66663,                0.33878,                0.89304,                0.95751,                0.95381,                0.96816,                0.84467,                0.96282,                0.96138,                0.97642,                 0.7598,                0.41402,                0.66069,                0.31534,                0.72645,             0.00040357,             0.00040357,             0.00040357
                     26,                0.43272,                0.66963,                0.33443,                0.88911,                0.96206,                0.95876,                0.96545,                0.85019,                0.96651,                 0.9649,                0.97517,                0.77338,                0.39531,                0.59014,                0.32595,                0.73169,             0.00038835,             0.00038835,             0.00038835
                     27,                0.43174,                0.66512,                0.33282,                0.89189,                0.96242,                0.95938,                0.96961,                0.85462,                0.96753,                0.96452,                0.97507,                0.76638,                0.39643,                0.62399,                0.29771,                0.72432,             0.00037312,             0.00037312,             0.00037312
                     28,                0.42935,                0.67445,                0.32897,                0.88726,                0.96166,                0.96252,                0.97188,                0.85476,                0.95558,                0.97082,                0.97623,                0.77975,                0.40089,                0.59288,                0.31206,                0.72751,             0.00035789,             0.00035789,             0.00035789
                     29,                0.42256,                0.67025,                0.32771,                0.88941,                0.96385,                0.96166,                0.97128,                0.85339,                0.96621,                0.96523,                 0.9773,                0.78708,                0.38641,                0.60433,                0.30153,                0.71661,             0.00034267,             0.00034267,             0.00034267
                     30,                0.41543,                0.64294,                0.32048,                0.88744,                0.95418,                0.96269,                0.97089,                0.85461,                0.95845,                0.97391,                0.97885,                0.78393,                0.37909,                0.60124,                0.28316,                0.72112,             0.00032744,             0.00032744,             0.00032744
                     31,                0.41369,                  0.642,                0.32041,                0.88898,                0.95499,                0.96373,                0.96759,                0.85799,                0.95704,                0.96822,                0.97681,                0.78633,                0.38622,                0.61339,                0.28231,                0.72032,             0.00031221,             0.00031221,             0.00031221
                     32,                0.40784,                0.63831,                0.31257,                0.88462,                0.95452,                0.96195,                0.96806,                0.85684,                0.95854,                0.96569,                0.97547,                0.77127,                 0.3942,                0.63087,                0.29768,                0.72067,             0.00029699,             0.00029699,             0.00029699
                     33,                0.40628,                0.63165,                0.31267,                 0.8848,                0.94848,                0.96574,                0.96859,                0.85845,                0.95077,                 0.9682,                0.97572,                0.78356,                0.39214,                0.61031,                0.31714,                0.72833,             0.00028176,             0.00028176,             0.00028176
                     34,                0.41026,                 0.6233,                0.31238,                0.88301,                 0.9596,                0.95809,                0.96903,                0.85976,                0.96256,                0.95967,                0.97276,                0.78307,                0.39322,                0.58758,                0.31192,                0.72509,             0.00026654,             0.00026654,             0.00026654
                     35,                0.40553,                0.62804,                0.30726,                0.88592,                0.96475,                0.95787,                0.97625,                0.87994,                0.97109,                0.96213,                0.97923,                0.78506,                 0.3642,                0.60785,                0.29542,                0.72023,             0.00025131,             0.00025131,             0.00025131
                     36,                0.40688,                0.63455,                0.30819,                0.88548,                0.95613,                0.96166,                0.96977,                0.88004,                0.96506,                0.97044,                0.97835,                0.78648,                0.40063,                0.61575,                0.32265,                0.73095,             0.00023608,             0.00023608,             0.00023608
